Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146436,90830792,G,19.1712,3.81713,9.04323,-16.4673,9.81583,-1.28942,1.17139,1,T,5.43984,-0.362592,2.62699,-4.74849,2.65189,-1.34587,1.70796,1,2.73205
146436,90862225,G,12.9435,5.12579,-3.98369,-11.1973,6.4918,-1.31335,-0.660674,-1,G,11.8636,4.78984,-6.26222,-8.86434,7.88403,-0.966622,-0.917841,1,3.10256
146436,90644850,G,12.3999,-0.849742,9.4011,8.04015,9.43943,0.77258,1.66094,1,G,8.55532,-4.85155,6.97696,-0.983229,8.49797,-0.115445,2.17841,-1,9.41149
146436,90678594,G,17.8132,-1.95959,2.80531,17.4811,3.42195,2.3335,2.18053,1,G,9.42174,4.36523,0.168017,8.34713,4.36846,1.403,0.0384708,1,7.74702
146436,90686690,G,7.95664,7.097,-1.31646,3.34613,7.21806,0.448399,-0.183411,1,T,5.44467,-1.34176,1.38647,5.09025,1.92941,1.69738,2.33981,-1,8.67727
146436,90692451,G,11.3415,0.816445,4.98596,10.1534,5.05236,1.44794,1.40849,1,G,7.86621,0.602823,5.05381,5.99681,5.08964,1.00197,1.45208,-1,2.30104
146436,90725500,G,18.1293,9.77963,7.17648,13.4728,12.1303,0.957512,0.633065,-1,T,4.48788,-1.39991,0.374027,4.24621,1.44902,1.79621,2.88051,1,8.38705
146436,90749620,G,15.8762,1.5928,3.01336,15.5057,3.40842,2.21997,1.08455,-1,G,7.74866,-1.91338,2.42923,7.10411,3.09228,1.56923,2.23796,1,4.14828
146436,90808356,G,8.99267,-1.6444,-4.20646,7.77551,4.51646,1.31172,-1.94345,1,G,6.45454,0.860784,-4.41161,4.63105,4.4948,0.902647,-1.3781,-1,3.1318
146436,90851884,G,10.4195,-3.61903,-2.36646,-9.47933,4.32406,-1.52644,-2.56249,1,G,25.6473,11.7951,-17.8219,14.1785,21.3716,0.622447,-0.986147,-1,28.3605
146436,90653677,G,10.679,2.05438,0.499999,10.4671,2.11435,2.30268,0.23874,-1,G,9.74014,-6.3448,-7.15544,1.84454,9.56331,0.1917,-2.29622,1,14.236
146436,90733245,G,5.94088,1.89526,0.200522,5.6259,1.90584,1.80313,0.105409,1,T,5.51003,-4.81074,-2.4305,1.13959,5.38986,0.209888,-2.67378,1,8.47813
146436,90779622,G,18.3797,2.24914,3.19848,17.9586,3.9101,2.2293,0.957933,-1,G,8.11221,-3.1851,2.77883,6.92316,4.22691,1.26889,2.42421,-1,6.79063
